,label,duration,segments,syllables
0,Kelle,0.5483703811176001,"[0.00419335219995554, 0.22455352988621236, 0.025999999999999968, 0.10522030895691614, 0.18840319007451606]","[('kel', 2, 1), ('le', 1, 0)]"
1,õuese,0.6454159354845187,[],"[('õu', 2, 1), ('e', 1, 0), ('se', 1, 0)]"
2,õunapuu?,1.1857872571162298,[],"[('õu', 2, 1), ('na', 1, 0), ('puu', 3, 1)]"
3,Meie,0.610577467948318,[],"[('mei', 2, 1), ('e', 1, 0)]"
4,õuese,0.6947760416666671,[],"[('õu', 2, 1), ('e', 1, 0), ('se', 1, 0)]"
5,õunapuu.,0.9189423355109221,[],"[('õu', 2, 1), ('na', 1, 0), ('puu', 3, 1)]"
6,Metu,0.658299018022209,[],"[('me', 2, 1), ('tu', 1, 0)]"
7,oksa,0.6669795918367347,[],"[('ok', 2, 1), ('sa', 1, 0)]"
8,õunapuul?,1.2685282713956116,[],"[('õu', 2, 1), ('na', 1, 0), ('puul', 3, 1)]"
9,Kolm,0.38505597264602365,[],"[('kolm', 3, 1)]"
10,olid,0.2418576899069862,"[0.07954826729623221, 0.04535645365777086, 0.08233286807718976, 0.03462010087579337]","[('o', 1, 1), ('lid', 2, 0)]"
11,oksa,0.6152840279888299,[],"[('ok', 2, 1), ('sa', 1, 0)]"
12,õunapuul.,1.3359349117870387,[],"[('õu', 2, 1), ('na', 1, 0), ('puul', 3, 1)]"
13,Metu,0.5467015837585016,[],"[('me', 2, 1), ('tu', 1, 0)]"
14,õita,0.7268847175113766,[],"[('õi', 2, 1), ('ta', 1, 0)]"
15,oksale?,1.409663047688456,[],"[('ok', 2, 1), ('sa', 1, 0), ('le', 1, 0)]"
16,Kolm,0.3755222407477703,[],"[('kolm', 3, 1)]"
17,olid,0.2633875943860673,"[0.09011019529956421, 0.04302380414440243, 0.0770775786254525, 0.053176016316648145]","[('o', 1, 1), ('lid', 2, 0)]"
18,õita,0.6498634463538373,[],"[('õi', 2, 1), ('ta', 1, 0)]"
19,oksale.,0.8109695570539923,[],"[('ok', 2, 1), ('sa', 1, 0), ('le', 1, 0)]"
20,Metu,0.6768182788356754,[],"[('me', 2, 1), ('tu', 1, 0)]"
21,õuna,0.6120767663352424,[],"[('õu', 2, 1), ('na', 1, 0)]"
22,õiele?,1.1978605625317265,[],"[('õi', 2, 1), ('e', 1, 0), ('le', 1, 0)]"
23,Üks,0.39425585304867994,[],"[('üks', 3, 1)]"
24,oli,0.2417812137480837,"[0.09161580266416536, 0.06899999999999906, 0.08116541108391928]","[('o', 1, 1), ('li', 1, 0)]"
25,õuna,0.5990075115380478,[],"[('õu', 2, 1), ('na', 1, 0)]"
26,õiele.,0.7908847978462497,[],"[('õi', 2, 1), ('e', 1, 0), ('le', 1, 0)]"
27,silence,0.9265100232959576,[],"[('si', 1, 1), ('len', 2, 0), ('ce', 1, 0)]"
28,Sai,0.36237356717433045,[],"[('sai', 3, 1)]"
29,neede,0.3333889044809979,"[0.04257302899327442, 0.10237582924468569, 0.05009881005591055, 0.13834123618712724]","[('nee', 2, 1), ('de', 1, 0)]"
30,õunad,0.47499999999999787,[],"[('õu', 2, 1), ('nad', 2, 0)]"
31,valmis,0.663077097505667,[],"[('val', 2, 1), ('mis', 2, 0)]"
32,"saanud,",0.6429872729853372,[],"[('saa', 2, 1), ('nud', 2, 0)]"
33,tuli,0.4852245601228553,[],"[('tu', 1, 1), ('li', 1, 0)]"
34,tuul,0.4247507809087985,[],"[('tuul', 3, 1)]"
35,ja,0.2638776637607876,[],"[('ja', 3, 1)]"
36,tõstis,0.6096138924319732,[],"[('tõs', 2, 1), ('tis', 2, 0)]"
37,"torma,",0.5031500592446214,[],"[('tor', 2, 1), ('ma', 1, 0)]"
38,raputase,0.728155447153874,[],"[('ra', 2, 1), ('pu', 1, 0), ('ta', 1, 1), ('se', 1, 0)]"
39,õunad,0.5324532449960877,[],"[('õu', 2, 1), ('nad', 2, 0)]"
40,meresse.,0.9317958922343941,[],"[('me', 1, 1), ('res', 2, 0), ('se', 1, 0)]"
41,Merest,0.3006849707926911,[],"[('me', 1, 0), ('rest', 3, 1)]"
42,tõusis,0.38185576608148253,"[0.05881164658737248, 0.07177330733570741, 0.049155824829931305, 0.04899999999999949, 0.08056491811390742, 0.07255006921456442]","[('tõu', 2, 1), ('sis', 2, 0)]"
43,üles,0.478850569325342,[],"[('ü', 1, 1), ('les', 2, 0)]"
44,kirju,0.5607788752884986,[],"[('kir', 2, 1), ('ju', 1, 0)]"
45,"lindu,",0.42551035705324836,[],"[('lin', 2, 1), ('du', 1, 0)]"
46,lendas,0.6842421143008899,[],"[('len', 2, 1), ('das', 2, 0)]"
47,meie,0.6057956135084233,[],"[('mei', 2, 1), ('e', 1, 0)]"
48,õuest,0.6081386268543909,[],"[('õu', 2, 1), ('est', 2, 0)]"
49,"läbi,",0.6591317169281012,[],"[('lä', 1, 1), ('bi', 1, 0)]"
50,meie,0.5496874999999974,[],"[('mei', 2, 1), ('e', 1, 0)]"
51,alla,0.5476354166666653,[],"[('al', 2, 1), ('la', 1, 0)]"
52,koppeli.,0.8657696436161189,[],"[('kop', 3, 1), ('pe', 1, 1), ('li', 1, 0)]"
53,Meie,0.7157826001115524,[],"[('mei', 2, 1), ('e', 1, 0)]"
54,koplis,0.6321389431305633,[],"[('kop', 2, 1), ('lis', 2, 0)]"
55,kolmi,0.6119200137855358,[],"[('kol', 2, 1), ('mi', 1, 0)]"
56,põesast:,0.6222851696894409,[],"[('põe', 2, 1), ('sast', 2, 0)]"
57,üks,0.3439763984795121,[],"[('üks', 3, 1)]"
58,oli,0.1895093726278887,"[0.08687958829364817, 0.026392464683944183, 0.07623731965029634]","[('o', 1, 1), ('li', 1, 0)]"
59,põesas,0.6799490549227798,[],"[('põe', 2, 1), ('sas', 2, 0)]"
60,"õbepõesas,",1.206124976745194,[],"[('õ', 1, 0), ('be', 2, 0), ('põe', 2, 1), ('sas', 2, 0)]"
61,teene,0.5751104250599681,[],"[('tee', 2, 1), ('ne', 1, 0)]"
62,põesas,0.6174340052121323,[],"[('põe', 2, 1), ('sas', 2, 0)]"
63,"vaskepõesas,",1.0674839569356749,[],"[('vas', 2, 0), ('ke', 2, 0), ('põe', 2, 1), ('sas', 2, 0)]"
64,kolmas,0.7103863988095398,[],"[('kol', 2, 1), ('mas', 2, 0)]"
65,kullakeeruline.,1.5496419883982284,[],"[('kul', 2, 1), ('la', 1, 0), ('kee', 2, 1), ('ru', 1, 0), ('li', 1, 0), ('ne', 1, 0)]"
66,Lind,0.426195466167016,[],"[('lind', 3, 1)]"
