,label,duration,segments,syllables
0,"Laula,",0.6165371047373356,"[0.13824537406793824, 0.1569722222222223, 0.07699999999999985, 0.08200000000000007, 0.16231950844717513]","[('lau', 2, 1), ('la', 1, 0)]"
1,"laula,",0.5454965277415792,"[0.09155010606529645, 0.11114484693720583, 0.09945265873172837, 0.07940249433106583, 0.1639464216762827]","[('lau', 2, 1), ('la', 1, 0)]"
2,"suukene,",2.090806063730405,"[0.19464428127156275, 0.31127911667911823, 0.18334218434060912, 0.306745577646788, 0.07051622474638775, 1.0242786790459393]","[('suu', 2, 1), ('ke', 1, 0), ('ne', 1, 0)]"
3,rest,0.2904866077468147,[],"[('rest', 3, 1)]"
4,"liigu,",0.6518525703717186,"[0.23123936489638464, 0.19880272108843577, 0.08750000000000036, 0.13431048438689785]","[('lii', 2, 1), ('gu', 1, 0)]"
5,linnu,0.5037042589236016,"[0.10326812483456838, 0.07896050642479224, 0.07988151927437581, 0.07617242155497017, 0.165421686834895]","[('lin', 2, 1), ('nu', 1, 0)]"
6,"keelekene,",2.168335595420464,"[0.09457754446487954, 0.26196254430611, 0.06919765321293436, 0.1482806854562888, 0.21253564915401402, 0.2817333023669484, 0.06919765321293525, 1.0308505632463536]","[('kee', 2, 1), ('le', 2, 0), ('ke', 1, 0), ('ne', 1, 0)]"
7,rest,0.6654818802034859,[],"[('rest', 3, 1)]"
8,"mõlgu,",0.5440560163813446,"[0.06852252590157182, 0.12356723788024127, 0.10393622364715505, 0.14793002355809293, 0.09192857638250551]","[('mõl', 2, 1), ('gu', 1, 0)]"
9,marja,0.5393143147773571,"[0.055157145829502596, 0.13482857869433928, 0.049028574070668185, 0.1365419105341381, 0.16375810564870896]","[('mar', 2, 1), ('ja', 1, 0)]"
10,"meelekene,",1.8982443049082125,"[0.09093703226989014, 0.2736973466698842, 0.07012080782451413, 0.14928946181993652, 0.18095692341810476, 0.30310284672532717, 0.0814306155381459, 0.7487092706424097]","[('mee', 2, 1), ('le', 2, 0), ('ke', 1, 0), ('ne', 1, 0)]"
11,rest,0.39453439927262757,[],"[('rest', 3, 1)]"
12,"ilutse,",0.816316093866611,"[0.27198329131762833, 0.049517269389166785, 0.12172995391503783, 0.08398891137628084, 0.11820660529615346, 0.17089006257234374]","[('i', 1, 1), ('lut', 2, 0), ('se', 1, 0)]"
13,südämekene!,1.9931048785627823,"[0.13694414845803493, 0.06524794987364224, 0.08817736948506294, 0.23412611897757962, 0.08817736948506294, 0.12466455685819255, 0.20372012949997398, 0.24324791582086291, 0.07297437474625923, 0.7358249453581109]","[('sü', 1, 1), ('dä', 1, 0), ('me', 2, 0), ('ke', 1, 0), ('ne', 1, 0)]"
14,rest,0.3750029173876772,[0.3750029173876772],"[('rest', 3, 1)]"
15,Küll,0.2657052154194979,"[0.057120366113018406, 0.06549999999999834, 0.025763605442177706, 0.040000000000000924, 0.0773212438643025]","[('küll', 3, 1)]"
16,sa,0.22371995464852645,"[0.09121019776118366, 0.1325097568873428]","[('sa', 3, 1)]"
17,siis,0.297578275467723,"[0.08312585376790693, 0.07709937264264433, 0.07921168422189417, 0.05814136483527754]","[('siis', 3, 1)]"
18,saad,0.2898916146916424,"[0.07371587214975683, 0.06354104211996514, 0.07624925054395604, 0.07638544987796436]","[('saad', 3, 1)]"
19,vait,0.6061370125370722,"[0.07424770661650726, 0.2246113275194741, 0.2526400812734604, 0.05463789712763045]","[('vait', 3, 1)]"
20,"olla,",1.6450500376458592,"[0.19788884449885202, 0.12440011985694, 0.1209445609720241, 1.201816512318043]","[('ol', 2, 1), ('la', 1, 0)]"
21,kui,0.4664458520745782,[],"[('kui', 3, 1)]"
22,saad,0.6881391723355996,[],"[('saad', 3, 1)]"
23,alla,0.6281675170068013,[],"[('al', 2, 1), ('la', 1, 0)]"
24,musta,0.5711933106575984,[],"[('mus', 2, 1), ('ta', 1, 0)]"
25,"mulla,",1.1389400209527132,[],"[('mul', 2, 1), ('la', 1, 0)]"
26,valge,0.5599782176350878,"[0.11976410518339975, 0.0961949418296868, 0.11990617558465289, 0.15298374126317782]","[('val', 2, 1), ('ge', 1, 0)]"
27,lauade,0.9948892597806314,"[0.08792145597702117, 0.14264700198863878, 0.10130004489048261, 0.08682860990612795, 0.18330528357056508, 0.13545578231292765, 0.2574310811348681]","[('lau', 2, 1), ('a', 1, 0), ('de', 1, 0)]"
28,"vahele,",1.4818748567602285,"[0.037422482594127615, 0.20673478549078084, 0.0868286099061315, 0.2956307432518166, 0.06408778350214206, 0.7911704520152298]","[('va', 1, 1), ('he', 1, 0), ('le', 1, 0)]"
29,rest,0.34202334450727534,[],"[('rest', 3, 1)]"
30,kena,0.5587160690715542,[],"[('ke', 1, 1), ('na', 1, 0)]"
31,kirstu,0.5766558956916121,[],"[('kirs', 2, 1), ('tu', 1, 0)]"
32,keske'elle!,1.2146899092970465,[],"[('kes', 2, 1), ('ke', 1, 0), (""'el"", 2, 0), ('le', 1, 0)]"
